"...1","Hours_Studied","Attendance","Parental_Involvement","Access_to_Resources","Extracurricular_Activities","Sleep_Hours","Previous_Scores","Motivation_Level","Internet_Access","Tutoring_Sessions","Family_Income","Teacher_Quality","School_Type","Peer_Influence","Physical_Activity","Learning_Disabilities","Parental_Education_Level","Distance_from_Home","Gender","Exam_Score","Hours_Studied_imp","Attendance_imp","Parental_Involvement_imp","Access_to_Resources_imp","Extracurricular_Activities_imp","Sleep_Hours_imp","Previous_Scores_imp","Motivation_Level_imp","Internet_Access_imp","Tutoring_Sessions_imp","Family_Income_imp","Teacher_Quality_imp","School_Type_imp","Peer_Influence_imp","Physical_Activity_imp","Learning_Disabilities_imp","Parental_Education_Level_imp","Distance_from_Home_imp","Gender_imp","Exam_Score_imp","grupa1","grupa2"
1,23,84,"Low","High","No",7,73,"Low","Yes",0,"Low","Medium","Public","Positive",3,"No","High School","Near","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
2,19,64,"Low","Medium","No",8,59,"Low","Yes",2,"Medium","Medium","Public","Negative",4,"No","College","Moderate","Female",61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
3,24,98,"Medium","Medium","Yes",7,91,"Medium","Yes",2,"Medium","Medium","Public","Neutral",4,"No","Postgraduate","Near","Male",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
4,29,89,"Low","Medium","Yes",8,98,"Medium","Yes",1,"Medium","Medium","Public","Negative",4,"No","High School","Moderate","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
5,19,92,"Medium","Medium","Yes",6,65,"Medium","Yes",3,"Medium","High","Public","Neutral",4,"No","College","Near","Female",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"16-23","3.5"
6,19,88,"Medium","Medium","Yes",8,89,"Medium","Yes",3,"Medium","Medium","Public","Positive",3,"No","Postgraduate","Near","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
7,29,84,"Medium","Low","Yes",8,68,"Low","Yes",1,"Low","Medium","Private","Neutral",2,"No","High School","Moderate","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
8,25,78,"Low","High","Yes",6,50,"Medium","Yes",1,"High","High","Public","Negative",2,"No","High School","Far","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
9,17,94,"Medium","High","No",6,80,"High","Yes",0,"Medium","Low","Private","Neutral",1,"No","College","Near","Male",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
10,23,98,"Medium","Medium","Yes",8,71,"Medium","Yes",0,"Medium","High","Public","Positive",5,"No","High School","Moderate","Male",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
11,17,80,"Low","High","No",8,88,"Medium","No",4,"Medium","High","Private","Neutral",4,"No","College","Moderate","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
12,17,97,"Medium","High","Yes",6,87,"Low","Yes",2,"Low","High","Private","Neutral",2,"No","High School","Near","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
13,21,83,"Medium","Medium","Yes",8,97,"Low","Yes",2,"Medium","Medium","Public","Positive",4,"No","High School","Near","Male",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
14,9,82,"Medium","Medium","Yes",8,72,"Medium","Yes",2,"Medium","Medium","Private","Positive",3,"No","Postgraduate","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
15,10,78,"Medium","High","Yes",5,74,"Medium","Yes",1,"Low","Medium","Private","Neutral",4,"No","Postgraduate","Near","Male",65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
16,17,68,"Medium","Medium","No",8,70,"Medium","Yes",2,"Medium","Medium","Private","Positive",4,"No","High School","Near","Female",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
17,14,60,"Medium","Low","Yes",10,65,"Low","Yes",0,"High","Medium","Private","Positive",3,"No","College","Near","Male",60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
18,22,70,"Low","Medium","Yes",6,82,"Medium","Yes",1,"Low","High","Public","Neutral",3,"No","High School","Near","Female",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
19,15,80,"Medium","Medium","Yes",9,91,"Low","Yes",3,"Low","Medium","Public","Positive",2,"No","College","Moderate","Female",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
20,12,75,"Medium","High","Yes",7,58,"Medium","Yes",3,"Medium","Medium","Private","Positive",4,"No","College","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
21,29,78,"Medium","Medium","No",5,99,"High","Yes",0,"High","Medium","Public","Negative",1,"No","High School","Moderate","Female",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
22,19,99,"Medium","High","No",6,84,"Medium","Yes",1,"Medium","High","Public","Neutral",3,"No","High School","Near","Male",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
23,20,74,"Medium","High","No",8,89,"Low","Yes",1,"Medium","Medium","Public","Negative",2,"No","College","Moderate","Female",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
24,11,78,"High","Medium","Yes",8,100,"High","Yes",1,"Low","Medium","Public","Neutral",3,"No","High School","Moderate","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
25,17,65,"Low","High","Yes",5,75,"Medium","Yes",2,"Low","Medium","Public","Positive",3,"No","High School","Near","Female",63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
26,21,62,"High","Low","Yes",6,54,"High","Yes",0,"High","High","Public","Positive",3,"No","Postgraduate","Far","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
27,13,91,"Low","Medium","No",6,90,"Medium","Yes",1,"High","Medium","Public","Negative",2,"Yes","High School","Moderate","Female",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
